a,b,measure,emotion,diff,lo,hi,excludes_zero
Kain / dialogue,Supporting / dialogue,share,joy,-0.007211730543804501,-0.026056135398904764,0.011423313862625666,FALSE
Kain / dialogue,Supporting / dialogue,share,sadness,-0.001347544745545215,-0.02273290566551279,0.02140840562549263,FALSE
Kain / dialogue,Supporting / dialogue,share,surprise,8.968115865574458e-4,-0.014962399684209473,0.0169701143729638,FALSE
Kain / dialogue,Supporting / dialogue,share,trust,0.010718294878786894,-0.016104662357248917,0.03898226335841209,FALSE
Kain / dialogue,Supporting / dialogue,rate100,anger,-0.21548414799573568,-0.7279796287967578,0.3498587721014407,FALSE
Kain / dialogue,Supporting / dialogue,rate100,anticipation,-0.5245130588627931,-1.0338658796246762,0.013662642309895678,FALSE
Kain / dialogue,Supporting / dialogue,rate100,disgust,-0.08922149249020905,-0.5460819088175635,0.38569169793807,FALSE
Kain / dialogue,Supporting / dialogue,rate100,fear,-0.519942744459903,-1.1051536671907676,0.1003397324835503,FALSE
Kain / dialogue,Supporting / dialogue,rate100,joy,-0.31501200826948983,-0.6973274199250572,0.09927317676711532,FALSE
Kain / dialogue,Supporting / dialogue,rate100,sadness,-0.3299041307072863,-0.8427345929481462,0.19085312001456348,FALSE
Kain / dialogue,Supporting / dialogue,rate100,surprise,-0.11348584750420299,-0.44123373465171173,0.2274523175328882,FALSE
Kain / dialogue,Supporting / dialogue,rate100,trust,-0.15217911741515966,-0.6722844693110022,0.3851284638239312,FALSE
Raziel / dialogue,Supporting / dialogue,share,anger,0.01185220451762753,-0.009655851231875618,0.03576962229619029,FALSE
Raziel / dialogue,Supporting / dialogue,share,anticipation,-0.049330284530677546,-0.073283045093058,-0.024333158641012632,TRUE
Raziel / dialogue,Supporting / dialogue,share,disgust,0.014519116504789917,-0.005794269234303514,0.03401045623084259,FALSE
Raziel / dialogue,Supporting / dialogue,share,fear,0.040721621619058374,0.01992978224068105,0.06397116810931643,TRUE
Raziel / dialogue,Supporting / dialogue,share,joy,-0.029145402659135067,-0.046746416016393316,-0.012079970445415663,TRUE
Raziel / dialogue,Supporting / dialogue,share,sadness,0.03362186943701792,0.012661903287662792,0.05538731483953723,TRUE
Raziel / dialogue,Supporting / dialogue,share,surprise,-0.008973798443289709,-0.025087261725935055,0.006781836658467814,FALSE
Raziel / dialogue,Supporting / dialogue,share,trust,-0.013265326445391384,-0.040923722991000826,0.013645054260205439,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,anger,0.003088170274176516,-0.5205289316788253,0.5749904157622108,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,anticipation,-1.123386615241263,-1.61288469168103,-0.6290974052076866,TRUE
Raziel / dialogue,Supporting / dialogue,rate100,disgust,0.10205371182838974,-0.3506955534428826,0.5468792878617659,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,fear,0.4403573618851868,-0.15506829266235392,1.0386419618421612,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,joy,-0.6514663847425919,-0.9875655952939136,-0.31390618708809187,TRUE
Raziel / dialogue,Supporting / dialogue,rate100,sadness,0.38750151010871425,-0.14953531074562673,0.9440041102807636,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,surprise,-0.24876308628527866,-0.5921701844169517,0.07443471975647281,FALSE
Raziel / dialogue,Supporting / dialogue,rate100,trust,-0.467872533299432,-0.9860988424078356,0.05099534027031576,FALSE
